Economy,Number of services,Number of alliances,Number of partner countries (Maritime connectivity),Turnaround time at port (days) Median,Turnaround time at port (days) Mean,Turnaround time at port (days) IQR (P75 - P25),Turnaround time weighted by ship's TEU, Median,Turnaround time weighted by ship's TEU, Mean
Albania,3,0,7,1.2,1.4,0.5,1.2,1.4
Algeria,25,0,18,2.5,3.1,2.4,2.7,3.2
Angola,11,0,22,2.5,3.1,2,3.3,3.8
Antigua and Barbuda,4,0,22,0.5,0.5,0.1,0.5,0.5
Argentina,23,0,21,1.5,1.8,1,1.6,1.8
Australia,58,0,36,1.7,2,1.1,1.9,2.1
Bahamas,17,2,35,1,1.3,1.4,1.5,1.7
Bahrain,7,1,10,0.8,2,0.5,0.9,1.7
Bangladesh,32,0,12,3,2.9,1,3,3.1
Belgium,114,3,88,1.3,1.6,1,1.7,1.9
Benin,16,0,26,1.5,1.5,0.8,1.5,1.5
Brazil,33,0,34,0.8,1,0.5,0.9,1
Bulgaria,6,0,8,1,1.3,0.5,1,1.1
Cambodia,12,0,10,0.8,0.9,0.5,0.8,1
Cameroon,16,0,26,1.6,1.6,0.8,1.5,1.6
Canada,48,3,41,2,2.7,2.6,2.5,3.2
Chile,18,0,18,1.3,1.5,1,1.5,1.9
China,590,4,92,0.8,1.1,0.5,1,1.4
Colombia,52,1,55,0.6,0.7,0.4,0.8,0.8
Congo,15,0,23,1.8,2.4,1.2,1.9,2.1
Congo (the Democratic Republic of the),6,0,7,1.8,1.8,1.4,1,1.7
Costa Rica,27,0,31,0.6,0.7,0.3,0.6,0.7
Croatia,7,2,15,0.8,1.1,0.9,1.7,1.6
Cuba,7,0,15,1,1.4,1.2,1.2,1.5
Cyprus,12,0,13,0.6,0.7,0.5,0.7,0.8
Denmark,17,1,20,0.5,0.8,0.5,1,1.3
Djibouti,13,1,24,0.8,0.8,0.4,0.8,0.9
Dominican Republic,35,1,51,0.9,1.1,0.6,1.2,1.4
Egypt,69,3,46,1.1,1.3,0.7,1.2,1.4
El Salvador,4,0,7,1.2,1.3,0.4,1.2,1.3
Estonia,8,0,11,0.8,1,0.8,1.1,1.2
Fiji,14,0,25,1.2,1.4,0.8,1.3,1.4
Finland,30,0,15,1.3,1.4,1.1,1.4,1.6
France,71,4,76,1.1,1.5,1.1,1.7,2
Gabon,9,0,16,1.5,1.5,1,1.5,1.5
Gambia,3,0,3,6.8,6.7,2.7,6.9,6.8
Georgia,5,0,5,1.4,1.7,0.6,1.5,1.6
Germany,119,3,70,1.3,1.7,1.3,2,2.4
Ghana,22,0,29,1.1,1.2,0.5,1.1,1.2
Greece,55,3,44,1.2,1.4,0.7,1.3,1.4
Grenada,4,0,17,0.3,0.4,0.2,0.3,0.4
Guatemala,29,0,19,0.6,0.7,0.5,0.7,0.8
Guinea,4,0,10,2,2,0.8,2,2
Guinea-Bissau,2,0,4,3.9,3.5,1.1,3.7,3.5
Guyana,9,0,16,1.5,1.4,0.6,1.5,1.4
Haiti,10,0,10,0.8,0.8,0.6,0.8,0.8
Honduras,20,0,13,0.5,0.6,0.3,0.5,0.6
Hong Kong,183,4,59,0.6,0.7,0.3,0.7,0.8
Iceland,8,0,10,0.6,0.8,0.9,0.8,0.9
India,117,2,58,0.9,1.1,0.7,1,1.1
Indonesia,118,1,17,1.1,1.8,0.9,1.1,1.5
Iran, Islamic Rep.,15,0,11,1.1,1.7,1,2,2.9
Iraq,10,2,16,1.5,1.6,1.1,1.7,1.9
Ireland,23,0,16,1.2,1.3,1,1.1,1.3
Israel,36,2,35,1.2,1.5,1,1.3,1.6
Italy,94,4,74,1,1.3,1,1.5,1.9
Jamaica,33,0,46,1.1,1.4,0.6,1.2,1.6
Japan,206,3,42,0.3,0.5,0.3,0.5,0.6
South Korea,268,5,78,0.7,1,0.6,1,1.3
Kuwait,8,0,7,0.8,0.9,0.5,0.8,0.9
Latvia,9,0,10,1.3,1.4,1.1,1.4,1.5
Liberia,3,0,5,2,2.3,0.8,2,2.3
Libya,16,0,24,2,2.4,1.6,2,2.4
Lithuania,16,0,23,0.7,0.8,0.5,0.9,1.1
Madagascar,8,0,9,0.9,0.9,0.4,0.9,0.9
Malaysia,208,4,70,1,1.2,0.7,1,1.4
Malta,22,1,45,1.2,1.3,0.7,1.3,1.4
Mauritania,7,0,5,2.1,2.6,1.3,2,2.6
Mauritius,13,0,26,1.3,1.5,0.8,1.1,1.4
Mexico,49,3,46,0.9,1.1,0.6,1,1.3
Montenegro,3,0,7,0.4,0.4,0.2,0.4,0.4
Myanmar,12,0,11,2,2,1.1,2,2
Namibia,6,0,18,1.3,1.3,0.6,1.2,1.2
Netherlands,137,3,87,0.9,1.3,1.1,1.8,2
New Zealand,32,0,33,1.1,1.6,1,1.2,1.5
Nicaragua,6,0,8,1.1,1.2,0.7,1.2,1.2
Nigeria,23,0,30,2.9,3.4,2.7,2.9,3.4
Norway,30,0,14,0.3,0.5,0.3,0.3,0.4
Oman,30,3,40,0.8,0.9,0.4,0.9,1
Panama,65,4,56,0.9,1.1,0.7,1,1.2
Papua New Guinea,19,0,18,1.5,1.9,1.1,1.6,1.8
Paraguay,3,0,2,0,0,0,0,0
Peru,25,0,31,0.8,0.9,0.5,0.9,0.9
Philippines,66,0,15,1,1.3,0.8,1.1,1.3
Poland,29,2,33,0.9,1.4,0.7,2.1,2.4
Portugal,50,1,48,0.8,1.1,0.7,1,1.4
Qatar,17,1,25,0.6,0.7,0.5,0.7,0.8
Romania,13,1,20,1.5,2.5,1.6,2.1,2.4
Russia,45,0,34,1.8,2.2,1.5,1.9,2.3
Saudi Arabia,63,3,49,0.8,1.1,0.6,0.9,1.1
Singapore,240,5,81,1,1.2,0.6,1.2,1.3
Slovenia,14,2,19,0.9,1.3,0.7,2.4,2.2
Solomon Islands,7,0,18,1.6,1.8,1.4,1.6,1.9
Somalia,9,0,14,1,1.2,1.3,1,1.3
South Africa,26,0,37,2.8,3.3,2.6,3,3.5
Spain,144,4,90,0.7,1,0.7,1.1,1.4
Sri Lanka,67,3,50,1,1.3,0.6,1,1.3
Sudan,4,0,1,6.6,6.2,3.4,6.9,6.6
Sweden,30,1,25,0.8,1,0.7,1.1,1.3
Syrian Arab Republic,5,0,12,0.9,1.2,0.8,0.9,1.3
Taiwan (Province of China),141,3,61,0.5,0.8,0.5,0.8,1
Thailand,89,3,33,0.8,1,0.8,1.1,1.4
Togo,25,0,30,1.1,1.4,0.5,1.2,1.4
Trinidad and Tobago,16,0,27,0.8,0.9,0.5,0.8,1
Turkey,109,3,50,0.7,1,0.6,1,1.2
Ukraine,N/A,N/A,0,0.9,1.2,0.8,1.2,1.3
United Arab Emirates,85,3,55,1.1,1.6,1,1.2,1.6
United Kingdom,133,3,90,0.9,1.2,0.9,1.3,1.8
United States of America,223,5,102,1.5,2.1,1.4,1.9,2.7
Uruguay,19,0,23,0.9,1.2,0.8,1,1.1
Venezuela,6,0,7,1.6,2,1.3,1.8,2.2
Vietnam,180,3,34,0.8,0.9,0.5,0.9,1
Yemen,9,0,8,2.8,3.6,2.1,3.1,3.7
